timestamp,firstName,lastName,email,phone,backup,role,interest,week
2025-05-18T00:52:34.712Z,Jay,Judd,jndj@kld,360,0421,Supervisor,,2025-08-25
2025-05-18T00:56:51.849Z,Jason,Jjudd,i@dunno.com,54,485,Supervisor,,2025-08-04
2025-05-18T00:59:46.030Z,Jason,Jjudd,i@dunno.com,54,485,Supervisor,,2025-08-04
2025-05-18T01:05:34.504Z,Jason,Judd,i@dunno.com,0421,360601,Associate,No,2025-06-02
2025-05-18T01:07:07.341Z,Judd222,222Judd,2222,2222,222,Supervisor,,2025-08-11


2025-05-18T01:17:31.702Z,GGG,ggg,ggg,ggg,ggg,Supervisor,,2025-06-02
2025-05-18T01:17:31.705Z,GGG,ggg,ggg,ggg,ggg,Supervisor,,2025-06-09
2025-05-18T01:17:31.705Z,GGG,ggg,ggg,ggg,ggg,Supervisor,,2025-06-16
2025-05-18T01:17:31.705Z,GGG,ggg,ggg,ggg,ggg,Supervisor,,2025-06-23
2025-05-18T01:17:31.705Z,GGG,ggg,ggg,ggg,ggg,Supervisor,,2025-06-30
